11617,12638,12532,15107,16799,12397,11109,10480,10990,11124,12329,12597,9596,9196,10271,11055,8906,10209,14232,11716,9408,9789,10116,9327,11326,5918,2166,10962,10663,9769,8759
10241,10552,11872,8662,9076,9103,7896,10322,10899,10221,10191,10658,12268,9305,8878,14006,12721,10574,10328,10919,9120,12980,14597,11043,10458,10355,10432,9762,0,0,0
11506,15632,11015,10181,8868,13683,10768,12669,13587,10949,9398,10768,10305,9863,10562,14976,10246,10700,11538,10860,12030,12694,14180,12240,11051,10981,12553,11104,12730,13976,12227
11558,12156,11805,9004,12654,13975,11624,11035,12374,12075,12057,13580,14893,13533,12789,12326,12380,10790,13561,13227,13651,11679,12254,13143,10982,13974,14663,11912,11995,12806,0
12864,11659,14422,14939,12287,11912,12872,11868,11774,13496,14983,13457,13230,13432,14040,12349,15173,15171,14516,13035,12903,12876,11311,10587,15629,15435,12405,12545,12042,11693,12997
16814,14474,12151,12795,13679,12687,14618,15076,12158,12179,12377,12389,11487,13264,16176,13426,12505,12551,13321,10991,13844,15821,11465,12807,12385,13245,11939,13893,13723,11202,0
11960,11111,9636,9506,13678,15957,12595,12126,11072,12434,11070,14218,14576,12013,12403,12594,12393,12049,14257,14993,11691,12626,12085,13574,11787,13947,15114,12412,11824,12397,13984
12673,14739,15093,12321,12614,12036,12692,11448,14407,14962,12501,13142,12731,13638,12353,14792,15536,13399,13213,13779,15044,12668,15323,15249,13240,12726,13174,13773,12998,14726,15116
13187,12559,13487,13994,12404,12246,17286,15906,13456,13012,13624,11841,13962,14180,12527,12003,12648,13705,12229,14045,14897,11257,11190,12557,12790,11731,14034,15027,11450,12713,0
12843,12619,11656,13512,14109,12379,12713,13266,12900,13188,13855,16351,13775,12862,13254,13654,11984,14083,15671,12525,12091,13281,13427,12049,13473,14190,11204,9924,13246,13185,10678
12391,13428,11171,10534,11963,11932,10369,13237,13923,10508,11370,11987,11623,10242,13405,13607,10721,10674,11151,13284,10650,10719,10777,10026,10431,8307,8285,12213,16130,16517,0
13056,11575,12157,11883,10351,12978,13327,10192,10051,11354,11698,10280,12132,12205,10684,9895,10687,11600,9971,9540,9776,9372,10201,8990,8001,11008,13702,15169,14010,13947,12280
